service_id,date,exception_type
0000000092022091320230623,20221226,2
0000000092022091320230623,20221227,1
0000000092022091320230623,20221228,1
0000000092022091320230623,20221229,1
0000000092022091320230623,20221230,1
0000000092022091320230623,20221231,1
0000000092022091320230623,20230102,1
0000000092022091320230623,20230103,1
0000000092022091320230623,20230104,1
0000000092022091320230623,20230105,1
0000000092022091320230623,20230106,1
0000000092022091320230623,20230107,2
0000000092022091320230623,20230109,2
0000000092022091320230623,20230110,2
0000000092022091320230623,20230111,2
0000000092022091320230623,20230112,2
0000000092022091320230623,20230113,2
0000000092022091320230623,20230114,2
0000000092022091320230623,20230116,2
0000000092022091320230623,20230117,2
0000000092022091320230623,20230118,2
0000000092022091320230623,20230119,2
0000000092022091320230623,20230120,2
0000000092022091320230623,20230121,2
0000000092022091320230623,20230123,2
0000000092022091320230623,20230124,2
0000000092022091320230623,20230125,2
0000000092022091320230623,20230126,2
0000000092022091320230623,20230127,2
0000000092022091320230623,20230128,2
0000000092022091320230623,20230130,2
0000000092022091320230623,20230131,2
0000000092022091320230623,20230201,2
0000000092022091320230623,20230202,2
0000000092022091320230623,20230203,2
0000000092022091320230623,20230204,2
0000000092022091320230623,20230206,2
0000000092022091320230623,20230207,2
0000000092022091320230623,20230208,2
0000000092022091320230623,20230209,2
0000000092022091320230623,20230210,2
0000000092022091320230623,20230211,2
0000000092022091320230623,20230213,2
0000000092022091320230623,20230214,2
0000000092022091320230623,20230215,2
0000000092022091320230623,20230216,2
0000000092022091320230623,20230217,2
0000000092022091320230623,20230218,2
0000000092022091320230623,20230220,1
0000000092022091320230623,20230221,1
0000000092022091320230623,20230222,2
0000000092022091320230623,20230223,2
0000000092022091320230623,20230224,2
0000000092022091320230623,20230225,2
0000000092022091320230623,20230227,2
0000000092022091320230623,20230228,2
0000000092022091320230623,20230301,2
0000000092022091320230623,20230302,2
0000000092022091320230623,20230303,2
0000000092022091320230623,20230304,2
0000000092022091320230623,20230306,2
0000000092022091320230623,20230307,2
0000000092022091320230623,20230308,2
0000000092022091320230623,20230309,2
0000000092022091320230623,20230310,2
0000000092022091320230623,20230311,2
0000000092022091320230623,20230313,2
0000000092022091320230623,20230314,2
0000000092022091320230623,20230315,2
0000000092022091320230623,20230316,2
0000000092022091320230623,20230317,2
0000000092022091320230623,20230318,2
0000000092022091320230623,20230320,2
0000000092022091320230623,20230321,2
0000000092022091320230623,20230322,2
0000000092022091320230623,20230323,2
0000000092022091320230623,20230324,2
0000000092022091320230623,20230325,2
0000000092022091320230623,20230327,2
0000000092022091320230623,20230328,2
0000000092022091320230623,20230329,2
0000000092022091320230623,20230330,2
0000000092022091320230623,20230331,2
0000000092022091320230623,20230401,2
0000000092022091320230623,20230403,2
0000000092022091320230623,20230404,2
0000000092022091320230623,20230405,2
0000000092022091320230623,20230406,1
